Generating SQLite file cupy_100_steps.sqlite from cupy_100_steps.nsys-rep
Processing [cupy_100_steps.sqlite] with [/opt/nvidia/nsight-systems-cli/2026.2.1/target-linux-x64/reports/cuda_kern_exec_sum.py]... 
PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
19000,19000,0,6,6,41231150.2,41183904.0,40506232,41983857,639111.7,6682190.8,2223.5,1974,40082150,16362571.5,34050341.0,40676539.5,1249,41486198,16689761.8,498618.3,496773.0,493541,509989,6088.5,cudaLaunchKernel,"void gather_core<int, (int)256>(int, const T1 *, const int *, T1 *)"
19000,19000,0,54,54,40254504.9,34702883.0,5789530,96941115,26496799.8,2222.9,1856.5,1796,12977,1575.0,40048239.6,34480116.0,5720961,96571236,26437259.3,204042.4,167266.0,66176,553286,101497.1,cudaLaunchKernelExC,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::merge_sort::DeviceMergeSortPartitionKernel<thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>, unsigned int, elem_less<int>, unsigned long>(bool, T1, T4 *, T2, T2, T2 *, T3, T2, int)"
19000,19000,0,4,4,26740123.0,19744645.0,5727439,61743763,25477128.6,9615.8,2777.5,2083,30825,14151.5,18139765.0,12042009.0,958089,47516953,22022573.7,8590742.3,7955727.5,4226891,14224623,4269699.7,cudaLaunchKernelExC,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::merge_sort::DeviceMergeSortBlockSortKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::merge_sort::policy_hub<thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>>::Policy600, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::NullType *, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::NullType *, unsigned int, elem_less<int>, unsigned long, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::NullType, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::merge_sort::VSMemHelper>(bool, T2, T3, T4, T5, T6, T8 *, T9 *, T7, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::vsmem_t)"
19000,19000,0,2,1,26277689.5,26277689.5,1590453,50964926,34913024.7,5467.0,5467.0,2417,8517,4313.4,50179365.0,50179365.0,50179365,50179365,0.0,1182668.0,1182668.0,783144,1582192,565012.3,cuLaunchKernel,cupyx_scipy_sparse_coo_sum_duplicates_diff
19000,19000,0,2,2,21578354.0,21578354.0,239817,42916891,30177248.4,3518.5,3518.5,3083,3954,615.9,21340561.5,21340561.5,885,42680238,30178859.9,234274.0,234274.0,233570,234978,995.6,cudaLaunchKernel,"void convert_CooToCsr_kernel<(int)0>(const int *, int, int, int *)"
19000,19000,0,124,124,20364531.2,20359258.5,1290591,39462336,11411418.3,2070.7,1946.5,1842,7850,673.9,19717538.4,19708553.5,634252,38822619,11415240.5,644922.1,646615.0,625574,661575,7865.1,cudaLaunchKernel,"void sortI32_by_key_merge_core<(int)256, (int)4>(int, unsigned int *, int *, int *, int *, unsigned int *, int *)"
19000,19000,0,124,124,19720973.2,19710652.5,639591,38826061,11413741.7,2786.2,1943.0,1861,99063,8720.5,19089307.7,19086008.5,818,38191216,11413183.4,628879.3,630726.0,607526,664999,8947.3,cudaLaunchKernel,"void sortI32_by_key_local_core<(int)256, (int)4, (bool)1>(int, int, unsigned int *, int *, int *, int *)"
19000,19000,0,129,129,19344612.7,19700596.0,639570,41090477,11759005.8,6946.1,1940.0,1833,642982,56437.6,19335390.9,19696641.0,965,41086539,11767300.0,2275.7,2048.0,1952,15264,1180.5,cudaLaunchKernel,"void cusparseIinclusive_localscan_core<(int)256, (int)4>(int, int *, int *, int *)"
19000,19000,0,129,129,19339761.9,19700622.0,12037,41090627,11767063.3,2038.7,1946.0,1845,9389,664.4,19335961.2,19696851.0,856,41086959,11767202.4,1762.0,1760.0,1728,1952,38.1,cudaLaunchKernel,"void cusparseIinclusive_scan_domino_v1_core<(int)256, (int)4>(int, int *, int *, int *, int *, int *)"
19000,19000,0,129,129,19339406.2,19700172.0,9942,41090311,11767068.7,2015.3,1935.0,1852,7508,534.2,19336022.8,19696895.0,1090,41086985,11767225.8,1368.1,1312.0,1280,7168,515.0,cudaLaunchKernel,"void cusparseIinclusive_scan_merge_core<(int)256, (int)4>(int, int, int *, int *, int *)"
19000,19000,0,4,4,12259538.0,3341471.0,640032,41715178,19722503.6,3571.3,2252.5,1937,7843,2852.7,11622632.8,2701388.5,1143,41086611,19728747.9,633334.0,628838.0,624134,651526,12460.2,cudaLaunchKernel,"void sortsign_by_key_merge_core<int, (int)256, (int)4>(int, T1 *, int *, int *, int *, T1 *, int *)"
19000,19000,0,200,200,12250922.8,12239370.5,11701352,12806847,515967.8,2983.9,2833.0,2351,22172,1464.0,32642.2,31055.0,20567,45817,5897.7,12215296.7,12204371.0,11670764,12765402,510777.6,cudaLaunchKernel,"void cusparse::create_perm_nt_kernel<int, double, (int)128, (int)16>(T1, const T1 *, const T1 *, const T2 *, unsigned int *, T1 *, T1 *, T2 *, T2 *, int, cusparseFillMode_t, cusparseDiagType_t, bool)"
19000,19000,0,4,4,11938703.8,2793598.5,1077219,41090399,19492191.6,157238.5,2931.0,2023,621069,309220.7,11171379.3,2091124.0,1395,40501874,19621961.8,610086.0,606038.0,582694,645574,30582.1,cudaLaunchKernel,"void sortsign_by_key_local_core<int, (int)256, (int)4>(int, int, T1 *, int *, int *, int *)"
19000,19000,0,18,17,9545305.4,1342801.0,462848,73582044,23314747.9,5512.3,3782.5,2096,24074,5199.8,9464065.7,994796.0,352,73550559,24128585.3,601524.2,566165.5,26880,1157036,372512.4,cuLaunchKernel,cupy_copy__int32_int32
19000,19000,0,2,2,6802995.5,6802995.5,1510904,12095087,7484147.6,5491147.5,5491147.5,3372,10978923,7760886.5,532272.5,532272.5,83866,980679,634142.6,779575.5,779575.5,526853,1032298,357403.6,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::for_each::static_kernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::for_each::policy_hub_t::policy_500_t, long, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::cuda_cub::__tabulate::functor<thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::device_ptr<unsigned long>, thrust::THRUST_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200_NS::system::detail::generic::detail::compute_sequence_value<unsigned long>>>(T2, T3)"
19000,19000,0,1,1,4264091.0,4264091.0,4264091,4264091,0.0,79343.0,79343.0,79343,79343,0.0,994.0,994.0,994,994,0.0,4183754.0,4183754.0,4183754,4183754,0.0,cudaLaunchKernel,"void csrgeam_windowBased_core<double, (bool)0>(cusparseCsrgeamParams<T1>)"
19000,19000,0,2,1,3060273.0,3060273.0,2532100,3588446,746949.4,5632.0,5632.0,3101,8163,3579.4,258864.0,258864.0,258864,258864,0.0,2925309.5,2925309.5,2270135,3580484,926556.7,cuLaunchKernel,cupyx_scipy_sparse_coo_sum_duplicates_assign
19000,19000,0,1,1,2895908.0,2895908.0,2895908,2895908,0.0,72163.0,72163.0,72163,72163,0.0,101.0,101.0,101,101,0.0,2823644.0,2823644.0,2823644,2823644,0.0,cudaLaunchKernel,"void csrgeam_windowBased_core<float, (bool)1>(cusparseCsrgeamParams<T1>)"
19000,19000,0,4,4,1902320.5,1972010.0,288947,3376315,1627292.6,145839.3,2857.5,2101,575541,286468.1,1609415.8,1607824.0,730,3221285,1782611.1,147065.5,148177.5,138978,152929,6882.5,cudaLaunchKernel,"void set_identy<(int)128>(int, int *)"
19000,19000,0,2,2,1525913.0,1525913.0,1005586,2046240,735853.5,3043.0,3043.0,2620,3466,598.2,679053.0,679053.0,433648,924458,347055.1,843817.0,843817.0,569318,1118316,388200.2,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::scan::DeviceScanKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::scan::policy_hub<int, int, int, unsigned int, cuda::std::__4::plus<void>>::Policy1000, int *, int *, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::ScanTileState<int, (bool)1>, cuda::std::__4::plus<void>, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::NullType, unsigned int, int, (bool)0, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::NullType>(T2, T3, T4, int, T5, T6, T7)"
19000,19000,0,8,8,1246008.6,520704.0,261785,4915653,1653191.8,6466.8,3377.0,3099,18908,5804.8,818273.8,1409.0,283,4297783,1588759.7,421268.1,432964.0,257475,614406,149015.3,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::reduce::DeviceReduceKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::reduce::policy_hub<int, unsigned int, cuda::__4::maximum<void>>::Policy1000, int *, unsigned int, cuda::__4::maximum<void>, int, cuda::std::__4::identity>(T2, T5 *, T3, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::GridEvenShare<T3>, T4, T6)"
19000,19000,0,8,8,1241423.8,515069.5,260452,4913853,1654446.8,4500.4,2601.0,2076,18094,5503.5,1235099.4,510463.5,256531,4909430,1655397.2,1824.0,1856.0,1536,1952,141.0,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::reduce::policy_hub<int, unsigned int, cuda::__4::maximum<void>>::Policy1000, int *, int *, int, cuda::__4::maximum<void>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
19000,19000,0,8,7,1149640.4,420167.5,11513,4891772,1696987.6,3728.3,2759.0,2245,10632,2818.7,1308066.3,480558.0,236947,4887477,1764317.3,1428.0,1440.0,1376,1472,45.1,cuLaunchKernel,cupy_greater_equal__int32_int_bool
19000,19000,0,2,2,706303.0,706303.0,444580,968026,370132.2,12107.5,12107.5,3222,20993,12566.0,692803.5,692803.5,439726,945881,357905.6,1392.0,1392.0,1152,1632,339.4,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::scan::DeviceScanInitKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::ScanTileState<int, (bool)1>>(T1, int)"
19000,19000,0,1,0,567078.0,567078.0,567078,567078,0.0,7260.0,7260.0,7260,7260,0.0,,,,,0.0,559942.0,559942.0,559942,559942,0.0,cuLaunchKernel,cupy_multiply__float64_float64_float64
19000,19000,0,8,8,390623.5,389565.0,260491,525833,138075.1,3165.6,2791.5,2384,4979,933.9,1394.0,1604.5,547,1721,448.6,386063.9,385107.5,256419,520773,137709.2,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::reduce::DeviceReduceKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::reduce::policy_hub<int, unsigned int, cuda::__4::minimum<void>>::Policy1000, int *, unsigned int, cuda::__4::minimum<void>, int, cuda::std::__4::identity>(T2, T5 *, T3, cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::GridEvenShare<T3>, T4, T6)"
19000,19000,0,8,8,389473.4,388436.0,259519,526248,137969.4,4158.9,2378.0,2162,16544,5007.7,383514.5,382650.0,255534,512182,135948.5,1800.0,1776.0,1664,1984,103.7,cudaLaunchKernel,"void cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::reduce::DeviceReduceSingleTileKernel<cub::CUB_300102_SM_500_520_600_610_700_750_800_860_890_900_1000_1200::detail::reduce::policy_hub<int, unsigned int, cuda::__4::minimum<void>>::Policy1000, int *, int *, int, cuda::__4::minimum<void>, int, int, cuda::std::__4::identity>(T2, T3, T4, T5, T6, T8)"
19000,19000,0,8,7,311684.6,249063.5,7843,501540,174815.0,3022.3,2524.5,2184,6519,1441.4,351146.1,245989.0,239547,497748,134411.4,1428.0,1408.0,1344,1568,74.4,cuLaunchKernel,cupy_less__int32_int_bool
